"key","en","es","ca","eu","gl","pt","fr","it","de","tr","pl","ar"
"brand_tagline","Live sports only","Solo deporte en directo","Només esport en directe","Kirola zuzenean soilik","Só deporte en directo","Apenas desporto em direto","Sport en direct uniquement","Solo sport in diretta","Nur Live-Sport","Sadece canlı spor","Tylko sport na żywo","رياضة مباشرة فقط"
"app_loading","Loading…","Cargando…","Carregant…","Kargatzen…","Cargando…","A carregar…","Chargement…","Caricamento…","Wird geladen…","Yükleniyor…","Ładowanie…","جارٍ التحميل…"
"press_back_to_exit","Press Back again to exit","Pulsa Atrás otra vez para salir","Torna a prémer Enrere per sortir","Sakatu Atzera berriro irteteko","Preme Atrás outra vez para saír","Prime Voltar outra vez para sair","Appuie encore sur Retour pour quitter","Premi di nuovo Indietro per uscire","Zum Beenden erneut Zurück drücken","Çıkmak için tekrar Geri'ye basın","Naciśnij Wstecz ponownie, aby wyjść","اضغط رجوع مرة أخرى للخروج"
"live_sports","Live sports","Deporte en directo","Esport en directe","Kirola zuzenean","Deporte en directo","Desporto em direto","Sport en direct","Sport in diretta","Live-Sport","Canlı spor","Sport na żywo","رياضة مباشرة"
"live_sports_of","Live sports of %1$s","Deporte en directo de %1$s","Esport en directe de %1$s","Kirola zuzenean — %1$s","Deporte en directo de %1$s","Desporto em direto de %1$s","Sport en direct de %1$s","Sport in diretta di %1$s","Live-Sport von %1$s","%1$s canlı spor","Sport na żywo: %1$s","رياضة مباشرة من %1$s"
"channels_count","%1$d channels","%1$d canales","%1$d canals","%1$d kanal","%1$d canles","%1$d canais","%1$d chaînes","%1$d canali","","","",""
"error_load_channels","Couldn't load the channels.","No se pudieron cargar los canales.","No s'han pogut carregar els canals.","Ezin izan dira kanalak kargatu.","Non se puideron cargar as canles.","Não foi possível carregar os canais.","Impossible de charger les chaînes.","Impossibile caricare i canali.","Die Sender konnten nicht geladen werden.","Kanallar yüklenemedi.","Nie udało się wczytać kanałów.","تعذّر تحميل القنوات."
"action_retry","Retry","Reintentar","Reintenta","Saiatu berriro","Tentar de novo","Tentar novamente","Réessayer","Riprova","Erneut versuchen","Tekrar dene","Spróbuj ponownie","إعادة المحاولة"
"action_search","🔍 Search","🔍 Buscar","🔍 Cerca","🔍 Bilatu","🔍 Buscar","🔍 Procurar","🔍 Rechercher","🔍 Cerca","🔍 Suchen","🔍 Ara","🔍 Szukaj","🔍 بحث"
"action_reload","↻ Reload","↻ Recargar","↻ Recarrega","↻ Birkargatu","↻ Recargar","↻ Recarregar","↻ Recharger","↻ Ricarica","↻ Neu laden","↻ Yenile","↻ Odśwież","↻ إعادة التحميل"
